trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
113,False,"{'a': 0.8, 'e': 0.7739999999999998}",20,0,-169.44401970567733,"{0: 12, 1: 1, 2: 2, 3: 2, 4: 3}",0
114,False,"{'a': 0.8, 'e': 0.7719999999999998}",25,0,-96.91447692299886,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
115,False,"{'a': 0.8, 'e': 0.7699999999999998}",20,0,-107.448060292002,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
116,False,"{'a': 0.8, 'e': 0.7679999999999998}",25,1,-97.42216266165865,"{0: 16, 1: 0, 2: 6, 3: 1, 4: 1}",1
117,False,"{'a': 0.8, 'e': 0.7659999999999998}",30,22,-19.46860300050882,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
118,False,"{'a': 0.8, 'e': 0.7639999999999998}",30,7,-43.277959416614706,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 0}",1
119,False,"{'a': 0.8, 'e': 0.7619999999999998}",25,0,-30.98756732393902,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
120,False,"{'a': 0.8, 'e': 0.7599999999999998}",30,0,-66.85935989958291,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
121,False,"{'a': 0.8, 'e': 0.7579999999999998}",30,0,-61.59340219242104,"{0: 24, 1: 0, 2: 4, 3: 1, 4: 1}",0
122,False,"{'a': 0.8, 'e': 0.7559999999999998}",30,20,-46.9904695173331,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
123,False,"{'a': 0.8, 'e': 0.7539999999999998}",25,0,-7.505910379196455,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
124,False,"{'a': 0.8, 'e': 0.7519999999999998}",20,0,-23.159439213353036,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
125,False,"{'a': 0.8, 'e': 0.7499999999999998}",25,0,-65.04091478118214,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",1
126,False,"{'a': 0.8, 'e': 0.7479999999999998}",25,7,-57.275484634937996,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 1}",1
127,False,"{'a': 0.8, 'e': 0.7459999999999998}",20,10,-45.16010204059742,"{0: 5, 1: 1, 2: 3, 3: 1, 4: 0}",1
128,False,"{'a': 0.8, 'e': 0.7439999999999998}",25,0,-22.118730682571,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
129,False,"{'a': 0.8, 'e': 0.7419999999999998}",20,0,3.5045405320827934,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
130,False,"{'a': 0.8, 'e': 0.7399999999999998}",20,8,-71.36649915730708,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 1}",1
131,False,"{'a': 0.8, 'e': 0.7379999999999998}",25,6,-74.40901986261967,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 2}",1
